Price	Open	High	Low	Close	Volume
Ticker	ABBV	ABBV	ABBV	ABBV	ABBV
Date					
2024-12-11	174.31617011699882	174.35578978171276	172.21596509740326	172.7410125732422	9492200
2024-12-12	173.2759848775343	174.26664282304708	170.38326549058596	171.57205200195312	4999500
2024-12-13	171.63149209257264	173.28588907686094	170.779525639729	171.7503662109375	5471600
2024-12-16	170.06624625325347	171.72064319431263	168.93689680957425	170.02662658691406	8157900
2024-12-17	168.98643132527087	174.85112445039474	168.61989272877574	173.74159240722656	7664700
2024-12-18	174.38551570002613	174.8511261404075	171.2055121826239	171.4036407470703	5471600
2024-12-19	171.31446447492345	172.25560157886895	168.74866412559004	169.9176483154297	6110500
2024-12-20	170.18512562051464	175.1483317130998	169.06569239605437	173.93972778320312	18950900
2024-12-23	173.65241938084978	176.98103058203944	172.99859664487195	176.7234649658203	6945600
2024-12-24	176.74327799109744	178.48683043770598	176.17859573733682	178.31842041015625	2692800
2024-12-26	177.34758299731928	178.6651598294624	176.96122701768633	177.52589416503906	2759300
2024-12-27	176.2578597936903	177.98161006016198	175.6337404510256	176.34701538085938	2745400
2024-12-30	175.36627132042122	175.68327399815337	173.8703681690039	174.55392456054688	3405700
2024-12-31	174.70253781195544	176.17860850235024	174.27654702744357	176.0399169921875	3326400
2025-01-02	176.99094466080808	178.10047667549117	176.2380349797817	177.76365661621094	4092000
2025-01-03	177.98159943182318	179.87375962203564	177.12963304518888	179.5270233154297	4380200
2025-01-06	179.0911358508838	180.27992232023573	177.58533159437664	178.41749572753906	6302100
2025-01-07	177.95188555839286	180.4681500035665	176.72346430574484	177.85281372070312	5905200
2025-01-08	177.5259007757715	177.56553555867853	174.53410954839688	176.8324432373047	4488500
2025-01-10	175.2077684581604	175.8814086191938	171.7107470477441	173.53355407714844	5372200
2025-01-13	173.52364115249972	176.31728856620077	172.7112944198253	175.08888244628906	4734100
2025-01-14	174.9600986555143	175.1285086906603	172.4636364246193	173.91000366210938	4779100
